loan_id,application_date,loan_amount,interest_rate,term_months,loan_status,customer_income,customer_credit_score,employment_length
1,2025-05-10,2486.87,8.41,12,Approved,86741.01,657,>10 years
2,2033-04-30,44550.71,8.23,12,Defaulted,115038.63,755,<1 year
3,2031-06-20,49602.16,7.83,24,Pending,22470.96,645,1-3 years
4,2024-04-11,15056.34,23.33,24,Approved,80384.05,820,>10 years
5,2035-02-13,10910.77,21.83,24,Approved,137171.3,797,>10 years
6,2032-06-06,38385.49,20.16,48,Pending,49160.81,627,3-5 years
7,2031-09-07,13024.8,11.94,60,Pending,24097.88,629,>10 years
8,2030-12-29,43345.34,14.34,36,Approved,76343.14,726,>10 years
9,2023-05-11,5590.71,13.48,48,Defaulted,111576.14,742,3-5 years
10,2027-08-13,6734.78,8.95,60,Approved,79080.26,394,5-10 years
11,2025-02-08,48968.0,14.36,36,Approved,79797.18,750,1-3 years
12,2029-07-19,33855.03,4.16,24,Approved,107074.66,616,3-5 years
13,2029-08-30,42420.92,6.33,36,Pending,53070.55,786,>10 years
14,2026-03-30,16554.3,22.56,12,Approved,117745.67,304,>10 years
15,2035-06-22,,19.66,12,Approved,39904.76,670,1-3 years
16,2032-04-08,29914.97,12.59,60,Approved,71447.58,1000,<1 year
17,2034-04-10,30355.93,14.62,48,Pending,105281.05,325,3-5 years
18,2036-04-05,34285.36,11.45,24,Approved,127687.97,461,5-10 years
19,2030-12-14,28980.28,19.43,60,Approved,122899.04,429,1-3 years
20,2024-04-19,21738.59,20.36,24,Approved,113819.13,832,1-3 years
21,2025-12-18,14158.17,19.91,12,Approved,66682.53,709,3-5 years
22,2030-01-02,38544.78,19.04,48,Pending,35899.56,372,>10 years
23,2028-08-09,11700.49,,48,Approved,48188.45,532,>10 years
24,2030-07-10,34771.54,10.77,12,Approved,132428.4,405,5-10 years
25,2025-09-02,12049.97,13.6,36,Pending,131453.08,308,3-5 years
26,2027-12-12,31453.84,10.61,48,Approved,143702.91,349,1-3 years
27,2023-07-09,37480.37,19.73,36,Approved,29878.52,821,3-5 years
28,2030-06-27,11326.34,10.58,24,Approved,89785.18,741,<1 year
29,2031-03-25,499733.0,6.47,48,Defaulted,104328.8,335,1-3 years
30,2035-10-03,6983.2,12.08,12,Rejected,112385.46,501,5-10 years
31,2028-03-14,30496.85,24.57,36,Rejected,103702.22,417,5-10 years
32,2026-06-21,42547.6,8.36,24,Rejected,120101.48,468,1-3 years
33,2027-03-09,2727.34,16.66,24,Defaulted,66731.3,811,>10 years
34,2031-10-08,36840.49,12.81,48,Rejected,43326.26,529,1-3 years
35,2032-09-26,17395.27,05.03,48,Pending,46595.84,449,1-3 years
36,2033-08-26,24187.15,13.99,60,Approved,21557.23,507,<1 year
37,2024-10-08,46478.55,18.6,60,Approved,65541.84,360,1-3 years
38,2030-11-28,16932.59,14.53,48,Pending,31926.73,416,3-5 years
39,2029-09-01,23534.18,22.25,60,Defaulted,-61793.53,538,3-5 years
40,2024-08-23,1177.28,9.71,12,Approved,101667.31,347,5-10 years
41,2029-06-21,4539.14,5.35,12,Rejected,136282.15,747,>10 years
42,2028-08-23,13300.28,,60,Approved,129148.71,767,5-10 years
43,2023-08-30,1878.69,11.63,48,Approved,52847.65,592,<1 year
44,2028-08-03,31753.08,15.89,12,Approved,37430.81,724,1-3 years
45,2030-09-25,21606.72,20.53,24,Pending,45099.4,816,5-10 years
46,2030-02-25,27633.19,10.47,48,Approved,146228.26,504,1-3 years
47,2026-09-25,9145.04,18.9,36,Rejected,91431.68,479,5-10 years
48,2027-01-18,15148.64,6.41,36,Rejected,43725.29,828,1-3 years
49,2029-12-31,33359.31,9.76,48,Rejected,129297.0,389,5-10 years
50,2025-02-14,48282.48,6.61,60,Approved,71374.86,2000,3-5 years
51,2033-12-28,2995.63,20.94,12,Rejected,136898.88,407,<1 year
